video_id,title,publish_date,views,likes,comments,duration
1qSPDGNZkg4,Activating Windows 10 in 4 minutes 2021,2021-07-17T17:54:48Z,75,9,0,PT3M39S
JW4DIWcFCvw,"Power BI Tutorial for beginners, Interactive Dashboards Creation.",2022-05-30T03:23:15Z,246,15,1,PT33M47S
WlCb4NNjwiw,a quick integration of cos^4x.∫cos^4 xdx,2021-08-20T13:35:54Z,130,33,10,PT4M51S
Oa2I0oxbTDg,Lec1: Real-World Machine Learning: Regression &amp; Log Transformation,2024-12-19T03:21:45Z,49,6,0,PT12M41S
7jkjOcr5-ro,Regression Analysis in R,2022-10-29T22:00:07Z,88,6,0,PT12M53S
4USdoePgXLU,Excel VLOOKUP and HLOOKUP Functions Explained.,2022-08-25T21:41:11Z,112,13,1,PT12M46S
sZ6UkihyDqo,Econometrics Lecture 2 (Review of Correlation and the General Linear Model GLM ),2022-08-31T20:02:27Z,286,7,1,PT1H30M7S
cSArMFBLD40,Inserting Drop Cap in Microsoft word,2019-09-27T16:24:48Z,136,14,0,PT2M4S
Jps2ZvCm2xU,Pure Mathematics CALA. A Level Zimsec. Application of differentiation.,2021-09-26T20:04:12Z,2950,60,10,PT16M3S
yDpJUnJfJ78,"Normal distribution: properties, calculating normal probabilities.",2021-08-10T08:58:38Z,32,11,0,PT11M29S
6xOGNrCGFOc,Introducing the New Python in Excel feature. The real Game Changer for Data Science and Analytics.,2023-09-17T00:31:04Z,178,15,3,PT22M11S
-tJ90kyunYY,Econometrics Lecture 5 (Multicollinearity ),2022-09-02T21:00:00Z,321,7,0,PT1H35M18S
wXGZC-fCrco,Master Data Preparation for Machine Learning,2025-01-13T15:01:19Z,108,8,0,PT9M42S
7lpu4vpcpjo,"Contingencies Lecture- Variable benefits, with-profit policies, pricing and reserving",2022-10-19T10:19:20Z,402,14,1,PT2H25M6S
QT51zqRouQU,Differentiation and Gradients. Part 2. Derivative of (ax+b)^n,2022-07-04T13:46:33Z,77,5,1,PT8M48S
q82NlT-IgGg,"Very easy Integration By Parts, Tabular Method. Scenario 3",2021-08-18T11:27:57Z,60,6,0,PT6M9S
Nb0Zy2CiBps,MICE for Missing Data: Essential Machine Learning Guide,2025-01-19T05:00:31Z,31,4,0,PT11M43S
EVuqW8De_ls,Microsoft office 2016 Activation,2021-07-18T11:55:55Z,107,3,2,PT3M50S
JQRcr78hj7Y,Econometrics lecture 3-4 (Auto-correlation and Generalized Least Squares Estimation),2022-09-01T12:30:46Z,350,9,0,PT2H23M16S
-yhqov5_Lnk,"Sufficiency (Sufficient Statistics), Factorization theorem and the Exponential Form.",2022-07-17T11:13:23Z,1130,28,2,PT39M18S
